rank,feature,feature_type,n_valid,method,statistic,p_value,direction,missing_rate,mean,std,median,min,max,n_unique,level_counts,pointbiserial_r,pointbiserial_p,mwu_u,mwu_p,chi2_stat,chi2_p,binned_or_q4_rel_to_q1
13,dbp,continuous,500,pointbiserial,-0.10643058039459083,0.017281236807023974,neg,0.0,69.744,14.175342842040145,69.0,34.0,117.0,,,-0.10643058039459083,0.017281236807023974,27585.0,0.02333548757584296,,,Q1=1.00; Q2=1.11; Q3=0.78; Q4=0.58
14,Urea_Nitrogen,continuous,500,mwu,34879.5,0.024476376170617476,pos,0.0,48.990559999999995,108.25887156548264,20.765,0.0,1189.04,,,0.02448880018486027,0.5848613803697075,34879.5,0.024476376170617476,,,Q1=1.00; Q2=1.38; Q3=1.21; Q4=1.84
15,Chloride,continuous,500,mwu,27750.0,0.030475552413112877,neg,0.0,103.5777,12.417271720630419,105.2,15.9,130.1,,,-0.06848522075273529,0.12618036785677042,27750.0,0.030475552413112877,,,Q1=1.00; Q2=0.86; Q3=0.76; Q4=0.60
16,caclium,continuous,500,mwu,34486.0,0.044829657301066875,neg,0.0,8.854899999999999,3.3012512035617703,8.6,2.52,37.6,,,-0.014349711756629746,0.7489056451037582,34486.0,0.044829657301066875,,,Q1=1.00; Q2=1.77; Q3=0.94; Q4=2.23
17,inr,continuous,500,mwu,28248.0,0.0634040363143287,neg,0.0,1.2186199999999998,0.44279072127325725,1.12,0.0,7.75,,,-0.008040769801979855,0.8576629144878812,28248.0,0.0634040363143287,,,Q1=1.00; Q2=0.76; Q3=0.55; Q4=0.70
18,Diabetes,binary,500,chi2,2.3522751465084317,0.12510030785420453,,0.0,,,,,,2.0,"{""0"": 345, ""1"": 155}",,,,,2.3522751465084317,0.12510030785420453,
19,bicarbonate,continuous,500,pointbiserial,-0.0609406353177863,0.1736628439101414,neg,0.0,21.08436,4.6650738491943375,20.95,1.93,36.2,,,-0.0609406353177863,0.1736628439101414,29833.0,0.38199164990279777,,,Q1=1.00; Q2=0.60; Q3=0.55; Q4=0.78
20,resp_rate,continuous,500,mwu,33340.5,0.19297485878333298,pos,0.0,19.344,4.626496833014347,19.0,11.0,41.0,,,0.03724476635567287,0.4059610845742751,33340.5,0.19297485878333298,,,Q1=1.00; Q2=1.31; Q3=1.00; Q4=1.26
21,Hypertension,binary,500,chi2,1.469781354459615,0.22538019420789002,,0.0,,,,,,2.0,"{""1"": 326, ""0"": 174}",,,,,1.469781354459615,0.22538019420789002,
22,heart_rate,continuous,500,pointbiserial,0.05229116121179795,0.24315464649927326,pos,0.0,91.324,28.1015732805422,90.0,20.0,450.0,,,0.05229116121179795,0.24315464649927326,32740.5,0.3542199030492371,,,Q1=1.00; Q2=1.33; Q3=0.94; Q4=1.14
23,Malignancy,binary,500,chi2,1.191982292203209,0.2749300688596786,,0.0,,,,,,2.0,"{""0"": 449, ""1"": 51}",,,,,1.191982292203209,0.2749300688596786,
24,platelet,continuous,500,pointbiserial,-0.03943391441112558,0.37891107269595065,neg,0.0,204.02192911580002,105.54166592662989,191.0520797,8.0,999.0,,,-0.03943391441112558,0.37891107269595065,30152.0,0.4986000001324217,,,Q1=1.00; Q2=0.69; Q3=1.03; Q4=0.71
25,temperature,continuous,500,mwu,32544.0,0.4207697644944727,pos,0.0,36.569720000000004,0.7025466997507436,36.5,35.0,39.5,,,0.013446466994927197,0.764228142706508,32544.0,0.4207697644944727,,,Q1=1.00; Q2=1.32; Q3=1.54; Q4=1.35
26,Kidney_failure,binary,500,chi2,0.28804147797282864,0.5914783393593814,,0.0,,,,,,2.0,"{""0"": 450, ""1"": 50}",,,,,0.28804147797282864,0.5914783393593814,
27,ARDS,binary,500,chi2,0.2284361206078191,0.6326858537700538,,0.0,,,,,,2.0,"{""0"": 496, ""1"": 4}",,,,,0.2284361206078191,0.6326858537700538,
28,Solidtumors,binary,500,chi2,0.15230422845961583,0.6963430091535003,,0.0,,,,,,2.0,"{""0"": 456, ""1"": 44}",,,,,0.15230422845961583,0.6963430091535003,
29,Potassium,continuous,500,pointbiserial,0.008638596264379928,0.8472056625403448,pos,0.0,6.685059999999999,18.300457165364,4.105,2.37,144.9,,,0.008638596264379928,0.8472056625403448,31172.0,0.9639503807208283,,,Q1=1.00; Q2=1.21; Q3=1.39; Q4=1.08
30,Fatty_liver,binary,500,chi2,0.014526914570733634,0.9040651772500683,,0.0,,,,,,2.0,"{""0"": 470, ""1"": 30}",,,,,0.014526914570733634,0.9040651772500683,
31,Ccoronaryheart_disease,binary,500,chi2,0.0,1.0,,0.0,,,,,,2.0,"{""0"": 465, ""1"": 35}",,,,,0.0,1.0,
32,Hyperlipidaemia,binary,500,chi2,0.0,1.0,,0.0,,,,,,2.0,"{""0"": 493, ""1"": 7}",,,,,0.0,1.0,
33,COPD,binary,500,chi2,0.0,1.0,,0.0,,,,,,2.0,"{""0"": 499, ""1"": 1}",,,,,0.0,1.0,
34,Cirrhosis,binary,500,chi2,0.0,1.0,,0.0,,,,,,2.0,"{""0"": 496, ""1"": 4}",,,,,0.0,1.0,
35,Hepatic_failure,binary,500,chi2,0.0,1.0,,0.0,,,,,,1.0,"{""0"": 500}",,,,,0.0,1.0,
36,Acute_pancreatitis,binary,500,chi2,0.0,1.0,,0.0,,,,,,1.0,"{""0"": 500}",,,,,0.0,1.0,
